passing_name,Season,salary_name
Stefan Aigner,2017,Stefan Aigner
Stefan Aigner,2018,Stefan Aigner
Stefan Cleveland,2018,Stefan Cleveland
Stefan Frei,2015,Stefan Frei
Stefan Frei,2016,Stefan Frei
Stefan Frei,2017,Stefan Frei
Stefan Frei,2018,Stefan Frei
Stefan Ishizaki,2015,Stefan Ishizaki
Stefan Marinovic,2017,Stefan Marinovic
Stefan Marinovic,2018,Stefan Marinovic
Stefano Bonomo,2018,Stefano Bonomo
Stefano Pinho,2018,Stefano Pinho
Steve Birnbaum,2015,Steven Birnbaum
Steve Birnbaum,2016,Steven Birnbaum
Steve Birnbaum,2017,Steven Birnbaum
Steve Birnbaum,2018,Steven Birnbaum
Steve Clark,2015,Steve Clark
Steve Clark,2016,Steve Clark
Steve Clark,2017,Steve Clark
Steve Clark,2018,Steve Clark
Steve Neumann,2015,Steve Neumann
Steve Neumann,2016,Steve Neumann
Steven Beitashour,2015,Steven Beitashour
Steven Beitashour,2016,Steven Beitashour
Steven Beitashour,2017,Steven Beitashour
Steven Beitashour,2018,Steven Beitashour
Steven Caldwell,2015,Steven Caldwell
Steven Gerrard,2015,Steven Gerrard
Steven Gerrard,2016,Steven Gerrard
Steven Mendoza,2016,Steven Mendoza
Steven Taylor,2016,Steven Taylor
Steven Vitoria,2015,Steven Vitoria
Sunny,2016,Steve Clark
Sunny,2017,Steve Clark
Sunny,2018,Steve Clark
Tally Hall,2015,Tally Hall
Taylor Hunter,2015,Taylor Hunter
Taylor Kemp,2015,Taylor Kemp
Taylor Kemp,2016,Taylor Kemp
Taylor Kemp,2017,Taylor Kemp
Taylor Peay,2015,Taylor Peay
Taylor Peay,2016,Taylor Peay
Taylor Peay,2018,Taylor Peay
Teal Bunbury,2015,Teal Bunbury
Teal Bunbury,2016,Teal Bunbury
Teal Bunbury,2017,Teal Bunbury
Teal Bunbury,2018,Teal Bunbury
Tesho Akindele,2015,Tesho Akindele
Tesho Akindele,2016,Tesho Akindele
Tesho Akindele,2017,Tesho Akindele
Tesho Akindele,2018,Tesho Akindele
Thomas,2015,Thomas
Thomas McNamara,2015,Thomas McNamara
Thomas McNamara,2016,Thomas McNamara
Thomas McNamara,2017,Thomas McNamara
Thomas McNamara,2018,Thomas McNamara
Tim Howard,2016,Tim Howard
Tim Howard,2017,Tim Howard
Tim Howard,2018,Tim Howard
Tim Melia,2015,Tim Melia
Tim Melia,2016,Tim Melia
Tim Melia,2017,Tim Melia
Tim Melia,2018,Tim Melia
Tim Parker,2015,Tim Parker
Tim Parker,2016,Tim Parker
Tim Parker,2017,Tim Parker
Tim Parker,2018,Tim Parker
Timo Pitter,2016,Timo Pitter
Todd Dunivant,2015,Todd Dunivant
Tomas Conechny,2018,Tomas Conechny
Tomas Hilliard-Arce,2018,Tomas Hilliard-Arce
Tomas Martinez,2017,Tomas Martinez
Tomas Martinez,2018,Tomas Martinez
Tommy Meyer,2015,Tommy Meyer
Tommy Redding,2015,Tommy Redding
Tommy Redding,2016,Tommy Redding
Tommy Redding,2017,Tommy Redding
Tommy Redding,2018,Tommy Redding
Tommy Smith,2018,Tommy Smith
Tommy Thompson,2015,Tommy Thompson
Tommy Thompson,2016,Tommy Thompson
Tommy Thompson,2017,Tommy Thompson
Tommy Thompson,2018,Tommy Thompson
Tony Alfaro,2016,Tony Alfaro
Tony Alfaro,2017,Tony Alfaro
Tony Alfaro,2018,Tony Alfaro
Tony Beltran,2015,Tony Beltran
Tony Beltran,2016,Tony Beltran
Tony Beltran,2017,Tony Beltran
Tony Rocha,2016,Tony Rocha
Tony Rocha,2017,Tony Rocha
Tony Rocha,2018,Tony Rocha
Tony Taylor,2015,Tony Taylor
Tony Taylor,2016,Tony Taylor
Tony Tchani,2015,Tony Tchani
Tony Tchani,2016,Tony Tchani
Tony Tchani,2017,Tony Tchani
Tony Tchani,2018,Tony Tchani
Tosaint Ricketts,2016,Tosaint Ricketts
Tosaint Ricketts,2017,Tosaint Ricketts
Tosaint Ricketts,2018,Tosaint Ricketts
Tranquillo Barnetta,2015,Tranquillo Barnetta
Tranquillo Barnetta,2016,Tranquillo Barnetta
Travis Worra,2015,Travis Worra
Travis Worra,2016,Travis Worra
Travis Worra,2017,Travis Worra
Tristan Blackmon,2018,Tristan Blackmon
Troy Perkins,2015,Troy Perkins
Tsubasa Endoh,2016,Tsubasa Endoh
Tsubasa Endoh,2017,Tsubasa Endoh
Ty Harden,2015,Ty Harden
Tyler Adams,2016,Tyler Adams
Tyler Adams,2017,Tyler Adams
Tyler Adams,2018,Tyler Adams
Tyler Deric,2015,Tyler Deric
Tyler Deric,2016,Tyler Deric
Tyler Deric,2017,Tyler Deric
Tyler Deric,2018,Tyler Deric
Tyler Miller,2016,Tyler Miller
Tyler Miller,2017,Tyler Miller
Tyler Miller,2018,Tyler Miller
Tyler Pasher,2017,Tyler Pasher
Tyler Turner,2015,Tyler Turner
Tyrone Mears,2015,Tyrone Mears
Tyrone Mears,2016,Tyrone Mears
Tyrone Mears,2017,Tyrone Mears
Tyrone Mears,2018,Tyrone Mears
Tyson Wahl,2015,Tyson Wahl
Tyson Wahl,2016,Tyson Wahl
Ulises Segura,2018,Ulises Segura
Vadim Demidov,2017,Vadim Demidov
Valentin Castellanos,2018,Valentin Castellanos
Valeri Qazaishvili,2017,Valeri Qazaishvili
Valeri Qazaishvili,2018,Valeri Qazaishvili
Vicente Sanchez,2015,Vicente Sanchez
Vicente Sanchez,2017,Vicente Sanchez
Victor Arboleda,2017,Victor Arboleda
Victor Arboleda,2018,Victor Arboleda
Victor Bernardez,2015,Victor Bernardez
Victor Bernardez,2016,Victor Bernardez
Victor Bernardez,2017,Victor Bernardez
Victor Cabrera,2015,Victor Cabrera
Victor Cabrera,2016,Victor Cabrera
Victor Cabrera,2017,Victor Cabrera
Victor Cabrera,2018,Victor Cabrera
Victor Giro,2018,Victor Giro
Victor Mansaray,2015,Victor Mansaray
Victor Pagliari Giro,2017,Victor Giro
Victor Perez,2015,Victor Perez
Victor Rodriguez,2017,Victor Rodriguez
Victor Rodriguez,2018,Victor Rodriguez
Victor Ulloa,2015,Victor Ulloa
Victor Ulloa,2016,Victor Ulloa
Victor Ulloa,2017,Victor Ulloa
Victor Ulloa,2018,Victor Ulloa
Victor Vazquez,2017,Victor Vazquez
Victor Vazquez,2018,Victor Vazquez
Vincent Bezecourt,2017,Vincent Bezecourt
Vincent Bezecourt,2018,Vincent Bezecourt
Vincent Nogueira,2015,Vincent Nogueira
Vincent Nogueira,2016,Vincent Nogueira
Vytautas Andriuskevicius,2016,Vytautas Andriuskevicius
Vytautas Andriuskevicius,2017,Vytautas Andriuskevicius
Vytautas Andriuskevicius,2018,Vytautas Andriuskevicius
Walker Hume,2017,Walker Hume
Walker Zimmerman,2015,Walker Zimmerman
Walker Zimmerman,2016,Walker Zimmerman
Walker Zimmerman,2017,Walker Zimmerman
Walker Zimmerman,2018,Walker Zimmerman
Walter Restrepo,2016,Walter Restrepo
Wan Kuzain,2018,Wan Kuzain
Wandrille Lefevre,2015,Wandrille Lefevre
Wandrille Lefevre,2016,Wandrille Lefevre
Wandrille Lefevre,2017,Wandrille Lefevre
Warren Creavalle,2015,Warren Creavalle
Warren Creavalle,2016,Warren Creavalle
Warren Creavalle,2017,Warren Creavalle
Warren Creavalle,2018,Warren Creavalle
Waylon Francis,2015,Waylon Francis
Waylon Francis,2016,Waylon Francis
Waylon Francis,2017,Waylon Francis
Waylon Francis,2018,Waylon Francis
Wayne Rooney,2018,Wayne Rooney
Wil Trapp,2015,Wil Trapp
Wil Trapp,2016,Wil Trapp
Wil Trapp,2017,Wil Trapp
Wil Trapp,2018,Wil Trapp
Wilfried Zahibo,2018,Wilfried Zahibo
Will Bruin,2015,Will Bruin
Will Bruin,2016,Will Bruin
Will Bruin,2017,Will Bruin
Will Bruin,2018,Will Bruin
Will Johnson,2015,Will Johnson
Will Johnson,2016,Will Johnson
Will Johnson,2017,Will Johnson
Will Johnson,2018,Will Johnson
Wyatt Omsberg,2018,Wyatt Omsberg
Xavier Kouassi,2017,Xavier Kouassi
Yair Arboleda,2016,Yair Arboleda
Yamil Asad,2017,Yamil Asad
Yamil Asad,2018,Yamil Asad
Yangel Herrera,2017,Yangel Herrera
Yangel Herrera,2018,Yangel Herrera
Yannick Boli,2018,Yannick Boli
Yeferson Quintana,2018,Yeferson Quintana
Yohan Croizet,2018,Yohan Croizet
Yordy Reyna,2017,Yordy Reyna
Yordy Reyna,2018,Yordy Reyna
Yoshimar Yotun,2017,Yoshimar Yotun
Yoshimar Yotun,2018,Yoshimar Yotun
Yura Movsisyan,2016,Yura Movsisyan
Yura Movsisyan,2017,Yura Movsisyan
Yura Movsisyan,2018,Yura Movsisyan
Zac MacMath,2015,Zac MacMath
Zac MacMath,2016,Zac MacMath
Zac MacMath,2017,Zac MacMath
Zac MacMath,2018,Zac MacMath
Zach Loyd,2015,Zach Loyd
Zach Loyd,2016,Zach Loyd
Zach Pfeffer,2015,Zach Pfeffer
Zach Scott,2015,Zach Scott
Zach Scott,2016,Zach Scott
Zach Steinberger,2015,Zach Steinberger
Zachary Herivaux,2016,Zachary Herivaux
Zachary Herivaux,2018,Zachary Herivaux
Zack Steffen,2017,Zack Steffen
Zack Steffen,2018,Zack Steffen
Zarek Valentin,2016,Zarek Valentin
Zarek Valentin,2017,Zarek Valentin
Zarek Valentin,2018,Zarek Valentin
Zlatan Ibrahimovic,2018,Zlatan Ibrahimovic
Zoltan Stieber,2017,Zoltan Stieber
Zoltan Stieber,2018,Zoltan Stieber
