Tab,Label,Description,Notes,,,,
Possession chains: Player, NumChains, Number of team's possessions in which the player was involved with a successful pass attempt or dribble, a shot, and/or a foul earned ("particpation"),,,,,
Possession chains: Player, TeamChain%, Percentage of team's total possessions in which the player was involved with a successful pass attempt or dribble, a shot, and/or a foul earned ("participation"),,,,,
Possession chains: Players, ChainShot%, Percentage of chains in which the player participates where the team earns a shot,,,,,
Possession chains: Players, PlayerShot%, Percentage of chains in which the player participates where he takes a shot,,,,,
Possession chains: Players, PlayerKP%, Percentage of chains in which the player participates where he makes the final pass before the shot,,,,,
Possession chains: Players, xB (xBuildup), Total team-adjusted xGoals earned by the team on possessions in which the player participated but did not make the final pass or shot,,,,,
Possession chains: Players, xGChain, Total team-adjusted xGoals earned by the team on possessions in which the player participated,,,,,
Possession chains: Players, xB% (xBuildup%), Ratio of xB/xGChain,,,,,
Possession chains: Players, xB% (0), Ratio of xB/xGChain in even gamestates,,,,,
Possession chains: Players, Comp ($K), Annual compensation averaged across seasons,,,,,

